target_name,target_type,plate,description,latitude_deg,longitude_deg,altitude_m,x_coord_m,y_coord_m,z_coord_m,drift_velocity_x_my,drift_velocity_y_my,drift_velocity_z_my,corner_azimuth_deg,corner_elevation_deg,rcs_hh_dB,rcs_hv_dB,rcs_vh_dB,rcs_vv_dB,delay_s,measurement_date,validity_start_date,validity_stop_date
SAO01-CR,CR,,El Sosneado,-35.07524799999999,-69.50458400000004,1531.6149999992922,1830102.89366828,-4896026.63313475,-3645582.27827414,,,,,,0,0,0,0,0,,,
SAO02-CR,CR,,El Sosneado,-35.086608000000005,-69.51283000000001,1541.948999993503,1829147.62165901,-4895619.20538606,-3646619.82361096,,,,,,0,0,0,0,0,,,
SAO03-CR,CR,,El Sosneado,-35.08680299999997,-69.50445899999998,1534.4919999977574,1829856.36788744,-4895334.5451755,-3646633.24400565,,,,,,0,0,0,0,0,,,
SAO04-CR,CR,,El Sosneado,-35.08623600000001,-69.49605500000003,1525.8800000008196,1830584.58332558,-4895093.36879219,-3646576.8077614,,,,,,0,0,0,0,0,,,
SAO05-CR,CR,,El Sosneado,-35.086898000000005,-69.52066999999994,1548.6890000002459,1828473.17595167,-4895857.28638149,-3646650.03106511,,,,,,0,0,0,0,0,,,
SAO06-CR,CR,,El Sosneado,-35.09251700000002,-69.49219699999999,1524.0300000049174,1830773.29023417,-4894593.40031864,-3647146.06501266,,,,,,0,0,0,0,0,,,
SAO07-CR,CR,,El Sosneado,-35.069039999999994,-69.50822799999999,1534.5350000038743,1829930.91425487,-4896516.05127254,-3645020.14567021,,,,,,0,0,0,0,0,,,
SAO08-CR,CR,,El Sosneado,-35.07513899999999,-69.49619499999996,1523.7139999987558,1830819.89880353,-4895759.07878426,-3645567.83895194,,,,,,0,0,0,0,0,,,
SAO09-CR,CR,,El Sosneado,-35.09922899999996,-69.49606100000003,1526.6650000000373,1830293.95405113,-4894317.77082644,-3647756.98807366,,,,,,0,0,0,0,0,,,
SAO10-CR,CR,,El Sosneado,-35.08083999999998,-69.500478,1529.3390000034124,1830328.21442113,-4895559.69010808,-3646088.79919126,,,,,,0,0,0,0,0,,,
SAO11-CR,CR,,El Sosneado,-35.087452000000006,-69.52856099999995,1556.1730000022799,1827788.66446888,-4896081.69511767,-3646704.63831378,,,,,,0,0,0,0,0,,,
SAO12-CR,CR,,El Sosneado,-35.11600400000002,-69.49227100000003,1519.3150000032037,1830240.53290371,-4893188.3272853,-3649275.61019951,,,,,,0,0,0,0,0,,,
SAO13-CR,CR,,El Sosneado,-35.080699615156284,-69.51649598351115,1546.0420545376837,1828967.42452281,-4896092.38918107,-3646085.65051937,,,,,,0,0,0,0,0,,,
SAO14-CR,CR,,El Sosneado,-35.06328131309109,-69.49561928862224,1521.6606685249135,1831133.32428661,-4896447.24011608,-3644489.70781764,,,,,,0,0,0,0,0,,,
SAO15-CR,CR,,El Sosneado,-35.075553722257986,-69.5213622544046,1549.2186894873157,1828667.30310669,-4896557.57570063,-3645620.15893293,,,,,,0,0,0,0,0,,,
SAO16-CR,CR,,El Sosneado,-35.075353676991085,-69.51265507938899,1540.7046685209498,1829413.43240771,-4896285.04131491,-3645597.09889594,,,,,,0,0,0,0,0,,,
SAO17-CR,CR,,El Sosneado,-35.09294273849851,-69.50882187077886,1540.0776120787486,1829348.09278195,-4895111.26686139,-3647193.94674052,,,,,,0,0,0,0,0,,,
SAO18-CR,CR,,El Sosneado,-35.06930963737863,-69.49195201707083,1519.8600545339286,1831311.56043624,-4895968.67439653,-3645036.2032787,,,,,,0,0,0,0,0,,,
SAO19-CR,CR,,El Sosneado,-35.099082519001534,-69.50464870638278,1535.5509360199794,1829566.17275789,-4894607.61189608,-3647748.79837415,,,,,,0,0,0,0,0,,,
SAO20-CR,CR,,El Sosneado,-35.104837868998565,-69.50058412829262,1531.7116120811552,1829783.6812,-4894130.86906711,-3648269.10300228,,,,,,0,0,0,0,0,,,
SAO21-CR,CR,,El Sosneado,-35.110583689222544,-69.49651205071477,1526.2750798910856,1830001.50878572,-4893653.17729928,-3648787.58686778,,,,,,0,0,0,0,0,,,
