target_name,target_type,plate,description,latitude_deg,longitude_deg,altitude_m,x_coord_m,y_coord_m,z_coord_m,drift_velocity_x_my,drift_velocity_y_my,drift_velocity_z_my,corner_azimuth_deg,corner_elevation_deg,target_shape,target_size_m,rcs_hh_dB,rcs_hv_dB,rcs_vh_dB,rcs_vv_dB,delay_s,measurement_date,validity_start_date,validity_stop_date
SB01-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.83470987,151.1656039,409.4544,-4989394.044,2746844.389,-2862070.09,-0.0325,-0.0083,0.0487,257.1,53.32,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB02-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.95163312,151.2376127,432.7094,-4987723.092,2737761.662,-2873635.587,-0.0325,-0.0082,0.0486,256.21,53.33,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB03-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.10073184,151.2588089,391.8599,-4982121.114,2732288.807,-2888334.621,-0.0326,-0.0081,0.0485,258.46,54.34,trihedral,2.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB04-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.30887139,151.2719591,385.242,-4973496.308,2726074.177,-2908844.803,-0.0326,-0.0079,0.0484,258.51,54.67,trihedral,2,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB05-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.45693025,151.1908296,403.0057,-4963032.78,2729484.882,-2923421.927,-0.0327,-0.0077,0.0484,258.2,55.36,trihedral,2.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB06-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.37473853,151.0859229,387.6754,-4961686.017,2740588.588,-2915329.591,-0.0328,-0.0078,0.0484,255.28,54.6,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB08-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.23278969,151.0167662,373.0977,-4964674.991,2750065.423,-2901345.385,-0.0327,-0.0079,0.0485,256.53,56.45,trihedral,2,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB09-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.12599545,151.1092032,370.6178,-4973836.181,2744662.788,-2890816.802,-0.0326,-0.008,0.0485,258.28,55.6,trihedral,2,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB10-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.94651144,151.1438779,390.5168,-4983429.822,2746023.792,-2873110.56,-0.0326,-0.0082,0.0486,255.93,53.53,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB11-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.82268499,150.9395077,368.4832,-4979009.54,2766786.057,-2860862.575,-0.0326,-0.0083,0.0487,257.05,54.23,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB12-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.92612314,150.9163773,358.791,-4973356.771,2766273.194,-2871082.081,-0.0327,-0.0082,0.0487,256.18,54.59,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB13-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.09530671,150.9236201,395.4661,-4966293.792,2761522.671,-2887801.085,-0.0327,-0.008,0.0486,256.42,55.11,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB14-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.39983571,150.9448228,387.9695,-4953803.72,2752178.022,-2917799.185,-0.0328,-0.0077,0.0485,258.58,57.2,trihedral,2.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB15-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.29907791,150.8201937,426.7689,-4952314.263,2765464.731,-2907899.498,-0.0329,-0.0078,0.0486,255.85,55.84,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB16-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.07814548,150.7564152,381.4304,-4958958.41,2776420.816,-2886101.608,-0.0328,-0.008,0.0487,256.95,55.98,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB17-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.91764566,150.7847203,353.8773,-4967354.568,2777899.362,-2870242.284,-0.0327,-0.0081,0.0488,255.78,55.4,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB18-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.67372716,150.7730205,361.1622,-4977426.116,2784866.088,-2846120.066,-0.0326,-0.0084,0.0489,257.49,54.87,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB19-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.91487069,150.6704368,359.7925,-4961929.779,2787872.599,-2869970.783,-0.0328,-0.0081,0.0488,256.56,56.07,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB20-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.02391179,150.5768339,357.7502,-4952594.18,2793282.233,-2880738.609,-0.0329,-0.008,0.0488,256.5,56.93,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB21-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.23780988,150.6700324,388.7727,-4947731.955,2779941.457,-2901847.19,-0.0329,-0.0078,0.0487,256.61,56.26,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB22-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.42434824,150.7462913,413.0829,-4943165.972,2768726.293,-2920222.149,-0.033,-0.0076,0.0485,256.28,56.17,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB23-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.60335556,150.8595332,381.6017,-4940599.964,2754474.913,-2937801.319,-0.033,-0.0075,0.0484,256.67,56.44,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB24-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.5096885,150.4432145,337.308,-4924598.331,2792650.351,-2928578.342,-0.0331,-0.0075,0.0486,257.66,57.02,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB25-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.61129809,150.2968277,316.2926,-4912905.695,2802632.46,-2938551.025,-0.0333,-0.0073,0.0486,256.52,57.72,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB26-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-27.25883102,150.4851197,355.3122,-4937780.392,2795354.863,-2903902.809,-0.033,-0.0077,0.0487,256.71,56.27,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB27-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.76676501,150.6217678,353.2136,-4966011.718,2795718.623,-2855324.703,-0.0327,-0.0082,0.0489,256.66,56.25,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB28-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.55989599,150.65925,370.9227,-4976820.065,2797517.336,-2834848.186,-0.0326,-0.0085,0.049,254.67,55.44,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB29-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.67052739,150.4970163,382.358,-4964108.209,2808898.556,-2845812.758,-0.0328,-0.0083,0.049,256.63,56.06,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
SB30-CRApex,CR,AUST,"Surat Basin, Queensland, Australia",-26.90013055,150.3884789,338.8747,-4948776.781,2812612.879,-2868504.815,-0.0329,-0.008,0.0489,257.64,55.87,trihedral,1.5,0,0,0,0,0,2020-01-01 00:00:00.000,2020-01-01 00:00:00.000,2099-01-01 00:00:00.000 
