Name,ID,Type,Description,Latitude [deg],Longitude [deg],Altitude [m],x [m],y [m],z [m],vx [m/y],vy [m/y],vz [m/y],Azimuth [deg],Elevation [deg],RCS_HH [dB],RCS_HV [dB],RCS_VH [dB],RCS_VV [dB],Delay [s],Plate,Reference frame,Survey Time [UTC],Validity Start [UTC],Validity Stop [UTC]
SB01-CRApex,1,CR,"Surat Basin, Queensland, Australia",-26.834709869,151.165603925,409.4544,-4989394.0436,2746844.3890,-2862070.0899,-0.0325,-0.0083,0.0487,257.10,53.32,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB02-CRApex,2,CR,"Surat Basin, Queensland, Australia",-26.951633122,151.237612692,432.7094,-4987723.0920,2737761.6619,-2873635.5867,-0.0325,-0.0082,0.0486,256.21,53.33,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB03-CRApex,3,CR,"Surat Basin, Queensland, Australia",-27.100731842,151.258808903,391.8599,-4982121.1136,2732288.8068,-2888334.6208,-0.0326,-0.0081,0.0485,258.46,54.34,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB04-CRApex,4,CR,"Surat Basin, Queensland, Australia",-27.308871392,151.271959147,385.2420,-4973496.3076,2726074.1767,-2908844.8033,-0.0326,-0.0079,0.0484,258.51,54.67,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB05-CRApex,5,CR,"Surat Basin, Queensland, Australia",-27.456930253,151.190829581,403.0057,-4963032.7802,2729484.8820,-2923421.9268,-0.0327,-0.0077,0.0484,258.20,55.36,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB06-CRApex,6,CR,"Surat Basin, Queensland, Australia",-27.374738525,151.085922853,387.6754,-4961686.0170,2740588.5882,-2915329.5912,-0.0328,-0.0078,0.0484,255.28,54.60,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB08-CRApex,8,CR,"Surat Basin, Queensland, Australia",-27.232789689,151.016766186,373.0977,-4964674.9910,2750065.4225,-2901345.3849,-0.0327,-0.0079,0.0485,256.53,56.45,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB09-CRApex,9,CR,"Surat Basin, Queensland, Australia",-27.125995450,151.109203186,370.6178,-4973836.1805,2744662.7879,-2890816.8016,-0.0326,-0.0080,0.0485,258.28,55.60,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB10-CRApex,10,CR,"Surat Basin, Queensland, Australia",-26.946511436,151.143877897,390.5168,-4983429.8223,2746023.7924,-2873110.5601,-0.0326,-0.0082,0.0486,255.93,53.53,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
SB11-CRApex,11,CR,"Surat Basin, Queensland, Australia",-26.822684986,150.939507744,368.4832,-4979009.5403,2766786.0572,-2860862.5749,-0.0326,-0.0083,0.0487,257.05,54.23,0.00,0.00,0.00,0.00,0.000,AUST,GDA2020,2020-01-01 00:00:00.000,2014-04-03 00:00:00.000,2099-12-31 00:00:00.000
